  0.0000000000    0.0150000000
  0.0002500000    0.0010000000    179    30
  0.0000228970    0.0000297918    0.0000447437    0.0000623891    0.0000811932
  0.0001005801    0.0001203566    0.0001403974    0.0001607431    0.0001813633
  0.0002021732    0.0002232372    0.0002445554    0.0002660903    0.0002878760
  0.0003099158    0.0003322436    0.0003548323    0.0003776581    0.0004008431
  0.0004243500    0.0004481584    0.0004723090    0.0004968628    0.0005217858
  0.0005471426    0.0005729060    0.0005991606    0.0006259031    0.0006531607
  0.0006810145    0.0007094511    0.0007385551    0.0007683554    0.0007988927
  0.0008302736    0.0008625235    0.0008957560    0.0009300303    0.0009654956
  0.0010022128    0.0010403496    0.0010509951    0.0010510070    0.0010510070
  0.0010510070    0.0010510070    0.0010510070    0.0010510070    0.0010510070
  0.0010510070    0.0010510070    0.0010510070    0.0010510070    0.0010510070
  0.0010510070    0.0010510070    0.0010510070    0.0010510070    0.0010510070
  0.0010510070    0.0010510070    0.0010510070    0.0010510070    0.0010510070
  0.0010510070    0.0010510070    0.0010510070    0.0010510070    0.0010510070
  0.0010510070    0.0010510070    0.0010510070    0.0010510070    0.0010510070
  0.0010510070    0.0010510070    0.0010510070    0.0010510070    0.0010510070
  0.0010510070    0.0010510070    0.0010510070    0.0010510070    0.0010510070
  0.0010510070    0.0010510070    0.0010510070    0.0010510070    0.0010510070
  0.0010510070    0.0010510070    0.0010510070    0.0010510070    0.0010510070
  0.0010510070    0.0010510070    0.0010510070    0.0010510070    0.0010510070
  0.0010510070    0.0010510070    0.0010510070    0.0010510070    0.0010510070
  0.0010510070    0.0010510070    0.0010510070    0.0010510070    0.0010510070
  0.0010510070    0.0010510070    0.0010510070    0.0010510070    0.0010510070
  0.0010510070    0.0010510070    0.0010510070    0.0010510070    0.0010510070
  0.0010510070    0.0010510070    0.0010510070    0.0010510070    0.0010510070
  0.0010510070    0.0010510070    0.0010510070    0.0010510070    0.0010510070
  0.0010510070    0.0010510070    0.0010510070    0.0010510070    0.0010510070
  0.0010510070    0.0010510070    0.0010510070    0.0010510070    0.0010510070
  0.0010510070    0.0010510070    0.0010510070    0.0010510070    0.0010510070
  0.0010510070    0.0010510070    0.0010510070    0.0010510070    0.0010510070
  0.0010510070    0.0010510070    0.0010510070    0.0010510070    0.0010510070
  0.0010510070    0.0010510070    0.0010510070    0.0010510070    0.0010510070
  0.0010510070    0.0010510070    0.0010510070    0.0010510070    0.0010510070
  0.0010510070    0.0010510070    0.0010510070    0.0010510070    0.0010510070
  0.0010510070    0.0010510070    0.0010510070    0.0010510070    0.0010510070
  0.0010510070    0.0010510070    0.0010510070    0.0010510070    0.0010510070
  0.0000260039    0.0000320924    0.0000459668    0.0000628905    0.0000810882
  0.0000999770    0.0001193402    0.0001390388    0.0001589745    0.0001791881
  0.0001996219    0.0002202760    0.0002411537    0.0002622617    0.0002835900
  0.0003051419    0.0003269479    0.0003489911    0.0003713121    0.0003938500
  0.0004167267    0.0004398608    0.0004633202    0.0004870643    0.0005111708
  0.0005356128    0.0005604614    0.0005856758    0.0006113274    0.0006373889
  0.0006639586    0.0006910095    0.0007185787    0.0007467341    0.0007754722
  0.0008048643    0.0008349644    0.0008658167    0.0008974704    0.0009300117
  0.0009634949    0.0009980200    0.0010336733    0.0010705853    0.0011088491
  0.0011119561    0.0011119713    0.0011119713    0.0011119713    0.0011119713
  0.0011119713    0.0011119713    0.0011119713    0.0011119713    0.0011119713
  0.0011119713    0.0011119713    0.0011119713    0.0011119713    0.0011119713
  0.0011119713    0.0011119713    0.0011119713    0.0011119713    0.0011119713
  0.0011119713    0.0011119713    0.0011119713    0.0011119713    0.0011119713
  0.0011119713    0.0011119713    0.0011119713    0.0011119713    0.0011119713
  0.0011119713    0.0011119713    0.0011119713    0.0011119713    0.0011119713
  0.0011119713    0.0011119713    0.0011119713    0.0011119713    0.0011119713
  0.0011119713    0.0011119713    0.0011119713    0.0011119713    0.0011119713
  0.0011119713    0.0011119713    0.0011119713    0.0011119713    0.0011119713
  0.0011119713    0.0011119713    0.0011119713    0.0011119713    0.0011119713
  0.0011119713    0.0011119713    0.0011119713    0.0011119713    0.0011119713
  0.0011119713    0.0011119713    0.0011119713    0.0011119713    0.0011119713
  0.0011119713    0.0011119713    0.0011119713    0.0011119713    0.0011119713
  0.0011119713    0.0011119713    0.0011119713    0.0011119713    0.0011119713
  0.0011119713    0.0011119713    0.0011119713    0.0011119713    0.0011119713
  0.0011119713    0.0011119713    0.0011119713    0.0011119713    0.0011119713
  0.0011119713    0.0011119713    0.0011119713    0.0011119713    0.0011119713
  0.0011119713    0.0011119713    0.0011119713    0.0011119713    0.0011119713
  0.0011119713    0.0011119713    0.0011119713    0.0011119713    0.0011119713
  0.0011119713    0.0011119713    0.0011119713    0.0011119713    0.0011119713
  0.0011119713    0.0011119713    0.0011119713    0.0011119713    0.0011119713
  0.0011119713    0.0011119713    0.0011119713    0.0011119713    0.0011119713
  0.0011119713    0.0011119713    0.0011119713    0.0011119713    0.0011119713
  0.0011119713    0.0011119713    0.0011119713    0.0011119713    0.0011119713
  0.0011119713    0.0011119713    0.0011119713    0.0011119713    0.0011119713
  0.0011119713    0.0011119713    0.0011119713    0.0011119713    0.0011119713
  0.0000292599    0.0000346369    0.0000474745    0.0000636325    0.0000812474
  0.0000996653    0.0001186049    0.0001378800    0.0001574668    0.0001773145
  0.0001973451    0.0002176502    0.0002381518    0.0002588329    0.0002797682
  0.0003008593    0.0003222351    0.0003437971    0.0003656065    0.0003876463
  0.0004099572    0.0004325154    0.0004553209    0.0004784550    0.0005018501
  0.0005255568    0.0005495889    0.0005739699    0.0005987066    0.0006237991
  0.0006493185    0.0006752242    0.0007015804    0.0007284416    0.0007557804
  0.0007836410    0.0008121013    0.0008411240    0.0008707905    0.0009011888
  0.0009323122    0.0009642454    0.0009970272    0.0010307646    0.0010655048
  0.0011013631    0.0011384411    0.0011722682    0.0011722631    0.0011722631
  0.0011722631    0.0011722631    0.0011722631    0.0011722631    0.0011722631
  0.0011722631    0.0011722631    0.0011722631    0.0011722631    0.0011722631
